OBJECTID,EACODE,SecTer_in_180,LISA_I_secter,LISA_CL_secter,LISA_P_secter,MORAN_STD_secter,MORAN_LAG_secter
219,20507004,1,0.047973689,0,0.421,-0.173621657,-0.276311662
220,31004003,0,0.157578067,0,0.253,-0.430346669,-0.366165416
221,30708042,2,-0.000205402,0,0.456,0.083103356,-0.002471649
222,30305065,0,0.185198256,2,0.012,-0.430346669,-0.430346669
223,31006001,0,0.169415291,0,0.067,-0.430346669,-0.393671668
224,20112013,0,0.185198256,2,0.025,-0.430346669,-0.430346669
225,30710040,0,0.185198256,2,0.006,-0.430346669,-0.430346669
226,10502067,0,0.185198256,2,0.037,-0.430346669,-0.430346669
227,10501018,1,0.047973689,0,0.449,-0.173621657,-0.276311662
228,31021802,1,0.03014448,0,0.414,-0.173621657,-0.173621657
229,31201090,2,-0.007316972,0,0.447,0.083103356,-0.088046653
230,20801020,0,0.185198256,2,0.049,-0.430346669,-0.430346669
231,20203011,3,0.11548332,0,0.228,0.339828368,0.339828368
232,30801054,0,0.148371338,0,0.23,-0.430346669,-0.344771665
233,31001028,0,0.185198256,0,0.098,-0.430346669,-0.430346669
234,30120711,1,0.03014448,0,0.43,-0.173621657,-0.173621657
235,20908014,0,0.185198256,2,0.027,-0.430346669,-0.430346669
236,20601058,1,0.036512054,0,0.429,-0.173621657,-0.210296659
237,20614051,3,0.391751053,1,0.014,0.339828368,1.152790907
238,20301001,0,0.185198256,2,0.047,-0.430346669,-0.430346669
239,20101002,2,-0.009094865,0,0.341,0.083103356,-0.109440404
240,20703051,0,0.185198256,2,0.017,-0.430346669,-0.430346669
241,20502028,1,0.03014448,0,0.429,-0.173621657,-0.173621657
242,20303015,1,0.036512054,0,0.479,-0.173621657,-0.210296659
243,20702002,0,0.148371338,0,0.385,-0.430346669,-0.344771665
244,20705049,0,0.185198256,2,0.016,-0.430346669,-0.430346669
245,30406005,0,0.185198256,0,0.054,-0.430346669,-0.430346669
246,30305024,0,0.163102105,0,0.174,-0.430346669,-0.379001667
247,30704027,2,0.000810536,0,0.448,0.083103356,0.009753352
248,20110017,0,0.185198256,2,0.006,-0.430346669,-0.430346669
249,30536028,11,5.729457241,1,0.001,2.393628468,2.393628468
250,31105006,0,0.185198256,0,0.177,-0.430346669,-0.430346669
251,20201031,0,0.185198256,2,0.042,-0.430346669,-0.430346669
252,30201042,0,0.185198256,2,0.013,-0.430346669,-0.430346669
253,20401005,2,-0.005894658,0,0.378,0.083103356,-0.070931652
254,30401016,1,0.03014448,0,0.445,-0.173621657,-0.173621657
255,20613011,12,6.343961539,1,0.001,2.65035348,2.393628468
256,20803055,0,0.185198256,0,0.083,-0.430346669,-0.430346669
257,20807802,1,0.03014448,0,0.245,-0.173621657,-0.173621657
258,20602016,1,0.03014448,0,0.49,-0.173621657,-0.173621657
259,20802006,0,0.185198256,2,0.009,-0.430346669,-0.430346669
260,30202007,1,0.03014448,0,0.478,-0.173621657,-0.173621657
261,30804040,0,0.185198256,2,0.005,-0.430346669,-0.430346669
262,20609801,0,0.169415291,0,0.065,-0.430346669,-0.393671668
263,31003044,0,0.185198256,2,0.047,-0.430346669,-0.430346669
264,10201802,1,0.03014448,0,0.432,-0.173621657,-0.173621657
265,31220711,1,0.03014448,0,0.499,-0.173621657,-0.173621657
266,10506904,0,0.185198256,2,0.026,-0.430346669,-0.430346669
267,30301046,3,0.057321692,0,0.342,0.339828368,0.16867836
268,20640001,19,19.94273031,1,0.001,4.447428567,4.484103569
269,30801066,2,0.006906168,0,0.371,0.083103356,0.083103356
270,10303006,0,0.157578067,0,0.288,-0.430346669,-0.366165416
271,20104004,0,0.185198256,0,0.297,-0.430346669,-0.430346669
272,10506027,1,0.056888293,0,0.309,-0.173621657,-0.327656664
273,30546001,11,5.729457241,1,0.001,2.393628468,2.393628468
274,20305031,0,0.185198256,2,0.029,-0.430346669,-0.430346669
275,20106002,0,0.185198256,2,0.032,-0.430346669,-0.430346669
276,30106029,1,0.052430991,0,0.434,-0.173621657,-0.301984163
277,20609017,0,0.185198256,2,0.045,-0.430346669,-0.430346669
278,20906031,0,0.148371338,0,0.368,-0.430346669,-0.344771665
